A = 0,681936, B = -4,767449, C = 4,101840, D = 11,539799, x1 = 5,986248, x2 = 1,004802
A = 4,166844, B = 0,491806, C = -3,290048, D = 55,078339, x1 = 0,831525, x2 = -0,949554
A = 1,825464, B = 2,117832, C = -1,518448, D = 15,572701, x1 = 0,500803, x2 = -1,660964
A = 0,202490, B = -0,001373, C = -1,458022, D = 1,180941, x1 = 2,686761, x2 = -2,679980
A = -4,306620, B = 1,162908, C = 3,176214, D = 56,067345, x1 = -0,734324, x2 = 1,004351
A = -0,710319, B = -2,761162, C = 1,274910, D = 11,246387, x1 = -4,304211, x2 = 0,416997
A = 0,258644, B = 0,808282, C = -0,672781, D = 1,349363, x1 = 0,683060, x2 = -3,808136
A = 0,253151, B = 2,066256, C = -4,260842, D = 8,583960, x1 = 1,705669, x2 = -9,867817
A = 1,269112, B = 3,959929, C = -4,150975, D = 36,753250, x1 = 0,828342, x2 = -3,948578
A = 0,220801, B = 1,298715, C = 0,527513, D = 1,220759, x1 = -0,438937, x2 = -5,442898
A = 2,225562, B = 3,661153, C = 0,717032, D = 7,020845, x1 = -0,227238, x2 = -1,417808
A = 0,384686, B = -4,967345, C = 3,929716, D = 18,627691, x1 = 12,066109, x2 = 0,846618
A = 1,365856, B = 3,724326, C = -3,490555, D = 32,940987, x1 = 0,737669, x2 = -3,464402
A = 1,984772, B = -1,173589, C = -0,782037, D = 7,585972, x1 = 0,989497, x2 = -0,398201
A = -3,237861, B = -4,394818, C = 2,451400, D = 51,063595, x1 = -1,782148, x2 = 0,424827
A = -2,983337, B = -2,679373, C = 1,474196, D = 24,771133, x1 = -1,283200, x2 = 0,385087
A = -2,377239, B = -3,062380, C = -0,056612, D = 8,839851, x1 = -1,269449, x2 = -0,018759
A = -4,789728, B = 4,932249, C = 0,123753, D = 26,698055, x1 = -0,024507, x2 = 1,054263
A = -1,963408, B = -0,837276, C = 0,207374, D = 2,329670, x1 = -0,601913, x2 = 0,175473
A = 1,748863, B = 4,266640, C = -3,214057, D = 40,688000, x1 = 0,603842, x2 = -3,043507
A = -0,488143, B = 3,973052, C = -2,799310, D = 10,319288, x1 = 0,779164, x2 = 7,359951
A = -0,894345, B = -0,636158, C = 3,457595, D = 12,773829, x1 = -2,353794, x2 = 1,642482
A = 3,207342, B = 2,958922, C = -3,576006, D = 54,633114, x1 = 0,690993, x2 = -1,613539
A = 3,702048, B = -3,656270, C = -2,494735, D = 50,310829, x1 = 1,451802, x2 = -0,464168
A = -3,463698, B = 2,442549, C = 3,403577, D = 53,121899, x1 = -0,699531, x2 = 1,404716
